Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Phil Mafah,RB,Clemson,College Stats,1-Jun,234,,,,,,,Dallas Cowboys / 7th / 239th pick / 2025,MafaPh00,1
Jake Majors,C,Texas,College Stats,3-Jun,306,,,,,,,,MajoJa00,0
Woody Marks,RB,USC,College Stats,10-May,207,4.54,35,18,119,,4.24,,-9999,1
Nickolas Martin,LB,Oklahoma St.,College Stats,Jun-00,221,4.53,38,26,123,,,San Francisco 49ers / 3rd / 75th pick / 2025,MartNi01,1
Sean Martin,EDGE,West Virginia,College Stats,6-Jun,293,4.88,28.5,28,112,7.38,,,MartSe00,0
Bam Martin-Scott,LB,South Carolina,College Stats,2-Jun,231,4.63,33.5,,122,7.26,4.53,,-9999,0
Damien Martinez,RB,Miami,College Stats,Jun-00,217,4.51,35,,124,,,Seattle Seahawks / 7th / 223rd pick / 2025,MartDa02,1
Moliki Matavao,TE,UCLA,College Stats,6-Jun,260,4.81,32.5,,114,,,New Orleans Saints / 7th / 248th pick / 2025,MataMo00,1
Francisco Mauigoa,LB,Miami,College Stats,2-Jun,233,4.6,35,,121,7.15,4.24,New York Jets / 5th / 162nd pick / 2025,MauiFr00,1
Marcus Mbow,G,Purdue,College Stats,4-Jun,303,,,,,,4.67,New York Giants / 5th / 154th pick / 2025,MbowMa00,1
Kyle McCord,QB,Syracuse,College Stats,3-Jun,218,,,,,,,Philadelphia Eagles / 6th / 181st pick / 2025,McCoKy00,1
Bru McCoy,WR,Tennessee,College Stats,3-Jun,209,,,,,,,,McCoBr00,0
Seth McLaughlin,C,Ohio St.,College Stats,4-Jun,304,,,,,,,,McLaSe00,0
Jalen McLeod,LB,Auburn,College Stats,2-Jun,241,,,,,,,,-9999,1
Tetairoa McMillan,WR,Arizona,College Stats,4-Jun,219,,,,,,,Carolina Panthers / 1st / 8th pick / 2025,McMiTe00,1
Decarrion McWilliams,CB,Central Florida,College Stats,10-May,191,4.41,34,,,,,Philadelphia Eagles / 5th / 145th pick / 2025,McWiMa01,1
Kain Medrano,LB,UCLA,College Stats,3-Jun,222,4.46,38,,125,,,,-9999,1
Armand Membou,OT,Missouri,College Stats,4-Jun,332,4.91,34,,115,,,New York Jets / 1st / 7th pick / 2025,MembAr00,1
